"数据收集不易，如使用数据请标注：“疫情数据由澎湃新闻美数课整理提供”。如有问题或建议请在澎湃美数课微信公众号后台联系（ID: Studio839）											",,,,,,,,,,,
链接：https://www.weibo.com/7397903361/IxupGgiZH?from=page_1005057397903361_profile&wvr=6&mod=weibotime,,,,,,,,,,,
数据截至：2020年3月6日,,,,,,,,,,,
,,,,,,,,,,,
ID,输出地,from-lat,from-long,输入地,to-lat,to-long,color,首例确诊时间,大洲,国内媒体报道,是否校对
49,意大利,41.87194,12.56738,圣马力诺,43.9429,12.457777,3,2月27日,欧洲,https://www.altarimini.it/News132152-coronavirus-primo-caso-nella-repubblica-di-san-marino.php,是
45,伊朗,32.427908,53.688046,爱沙尼亚,58.595273,25.013607,2,2月27日,欧洲,http://app.cctv.com/special/cportal/detail/arti/index.html?id=Artia6tXHS4OyEwB0qgc6nMe200227&fromapp=cctvnews&version=803&allow_comment=1,是
46,伊朗,32.427908,53.688046,白俄罗斯,53.893009,27.567444,2,2月27日,欧洲,http://m.news.cctv.com/2020/02/28/ARTIPqufXY3LZmtnKanYzJYS200228.shtml,伊朗留学生，从阿塞拜疆巴库乘机抵达白俄罗斯
51,意大利,41.87194,12.56738,冰岛,64.963033,-19.020835,3,2月28日,欧洲,http://m.news.cctv.com/2020/02/29/ARTIH9KG3StyLu9zlSUH38g3200229.shtml,是
52,意大利,41.87194,12.56738,立陶宛,55.169439,23.881275,3,2月28日,欧洲,http://www.bjnews.com.cn/world/2020/02/28/696589.html,是
54,意大利,41.87194,12.56738,墨西哥,23.634501,-102.552784,3,2月28日,美洲,http://m.news.cctv.com/2020/02/28/ARTIY4wVEoT7nFv96FLExCHq200228.shtml,是
55,意大利,41.87194,12.56738,尼日利亚,9.081999,8.675277,3,2月28日,非洲,http://m.news.cctv.com/2020/02/28/ARTI4DTx0meAlip8dWcMZ1su200228.shtml,是
50,伊朗,32.427908,53.688046,阿塞拜疆,40.143105,47.576927,2,2月28日,亚洲,http://www.chinanews.com/gj/2020/02-28/9108438.shtml,是
56,伊朗,32.427908,53.688046,新西兰,-43.664335,171.12582,2,2月28日,大洋洲,http://m.news.cctv.com/2020/02/28/ARTIVQluM8E1B2SnB4IanZeK200228.shtml,是
53,不明,,,摩纳哥,43.733334,7.416667,3,2月28日,欧洲,,
57,意大利,41.87194,12.56738,爱尔兰,53.142368,-7.692054,3,2月29日,欧洲,http://m.news.cctv.com/2020/03/01/ARTIpLvfXKkVV95qGRbbZrcz200301.shtml,是
60,意大利,41.87194,12.56738,卢森堡,49.611621,6.131935,3,2月29日,欧洲,http://m.news.cctv.com/2020/03/01/ARTIwVENYbyPqbt4rPN3SpOu200301.shtml,是
59,伊朗,32.427908,53.688046,卡塔尔,25.354826,51.183884,2,2月29日,亚洲,http://m.news.cctv.com/2020/02/29/ARTIT0co7io5IhmBzqkXR5t3200229.shtml,是
58,西班牙,40.463667,-3.74922,厄瓜多尔,-1.831239,-78.183406,4,2月29日,美洲,http://m.news.cctv.com/2020/03/01/ARTI1qE88C092fYhQKFjBqPu200301.shtml,是
61,意大利,41.87194,12.56738,多米尼加,18.735693,-70.162651,3,3月1日,美洲,http://m.news.cctv.com/2020/03/01/ARTI2wGM4EcGj3oezFuZgMCU200301.shtml,是
62,意大利,41.87194,12.56738,捷克,49.817491,15.472962,3,3月1日,欧洲,http://m.news.cctv.com/2020/03/02/ARTIGIMR2FAZ6KshaAzM8zqU200302.shtml,是
63,伊朗,32.427908,53.688046,亚美尼亚,40.069099,45.038189,2,3月1日,亚洲,http://m.news.cctv.com/2020/03/01/ARTI4sPe5gxYuIF5WpyS9k0P200301.shtml,是
64,意大利,41.87194,12.56738,安道尔,42.506317,1.521835,3,3月2日,欧洲,https://world.huanqiu.com/article/9CaKrnKpGIo,是
65,意大利,41.87194,12.56738,拉脱维亚,56.946,24.10589,3,3月2日,欧洲,http://www.xinhuanet.com/2020-03/03/c_1125656388.htm,是
66,意大利,41.87194,12.56738,摩洛哥,31.791702,-7.09262,3,3月2日,非洲,http://m.news.cctv.com/2020/03/03/ARTIvS2WSKikhzL70976LDxJ200303.shtml,是
67,意大利,41.87194,12.56738,葡萄牙,38.736946,-9.142685,3,3月2日,欧洲,http://pt.china-embassy.org/chn/,是
